Afstemningsområde	Opstillingskreds	Storkreds	Landsdel	Filnavn	Stemmeberettigede	IAltGyldigeStemmer	BlankeStemmer	AndreUgyldigeStemmer	IAltAfgivneStemmer	A	B	C	F	I	K	O	V	Ø	Å	UdenForParti
"Lillerød"	"6. Rudersdal"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494873.xml"	4156	3815	26	7	3848	856	370	316	196	430	11	508	778	192	158	0
"Lynge"	"6. Rudersdal"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494874.xml"	3702	3368	30	6	3404	701	191	186	129	385	10	654	826	173	112	1
"Ravnsholt"	"6. Rudersdal"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494875.xml"	4108	3825	25	13	3863	722	333	329	119	616	26	453	970	129	128	0
"Asminderød"	"2. Fredensborg"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494805.xml"	4499	3933	35	10	3978	871	203	225	117	529	32	727	849	202	178	0
"Fredensborg"	"2. Fredensborg"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494806.xml"	3385	3029	18	8	3055	518	241	222	104	502	17	415	718	130	161	1
"Humlebæk"	"2. Fredensborg"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494807.xml"	3498	3046	29	5	3080	608	288	183	126	381	7	439	617	192	201	4
"Baunebjerg"	"2. Fredensborg"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494808.xml"	3524	3117	28	2	3147	705	276	134	178	306	8	591	480	251	187	1
"Ullerød"	"2. Fredensborg"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494809.xml"	3235	2728	13	4	2745	599	199	160	116	325	7	426	545	218	128	5
"Brønsholm"	"2. Fredensborg"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494810.xml"	3411	2863	15	12	2890	593	148	162	94	289	24	655	670	158	69	1
"Niverød"	"2. Fredensborg"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494811.xml"	2895	2544	14	4	2562	572	144	117	134	227	7	543	490	189	120	1
"Karlebo"	"2. Fredensborg"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494812.xml"	859	795	4	2	801	103	36	47	22	171	6	132	210	29	39	0
"Nivå"	"2. Fredensborg"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494813.xml"	2663	2230	13	2	2245	570	194	107	108	190	15	339	419	182	106	0
"Helsingør Hallen"	"1. Helsingør"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494794.xml"	9620	7717	62	32	7811	2082	367	441	393	606	31	1552	840	852	552	1
"Montebello, Gurrevej 90"	"1. Helsingør"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494795.xml"	7237	5750	45	23	5818	1895	176	231	257	303	24	1476	592	581	211	4
"Laden, Gl. Vapnagård"	"1. Helsingør"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494796.xml"	5457	4346	22	18	4386	1143	193	227	206	321	15	1087	483	447	220	4
"Bølgen"	"1. Helsingør"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494797.xml"	4240	3742	22	11	3775	852	224	263	123	467	14	716	684	214	185	0
"Hornbæk Skole"	"1. Helsingør"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494798.xml"	3933	3426	31	9	3466	773	171	240	101	381	5	726	652	209	167	1
"Nygård Skole, Helsingør"	"1. Helsingør"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494799.xml"	1033	922	3	5	930	177	41	68	24	113	4	232	159	49	55	0
"Tikøb Skole"	"1. Helsingør"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494800.xml"	1252	1123	6	1	1130	194	61	75	21	153	3	281	209	68	58	0
"Kvistgård Idrætsanlæg"	"1. Helsingør"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494801.xml"	860	722	9	2	733	173	32	29	26	50	14	186	122	45	45	0
"Snekkersten Hallen"	"1. Helsingør"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494802.xml"	3624	3210	17	8	3235	741	212	259	112	353	8	586	529	227	183	0
"Administrationsbygningen, Esp"	"1. Helsingør"	"Nordsjællands Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494803.xml"	3305	2994	17	9	3020	603	279	235	115	476	14	376	535	175	185	1
