Afstemningsområde	Opstillingskreds	Storkreds	Landsdel	Filnavn	Stemmeberettigede	IAltGyldigeStemmer	BlankeStemmer	AndreUgyldigeStemmer	IAltAfgivneStemmer	A	B	C	F	I	K	O	V	Ø	Å	UdenForParti
"Hjerting"	"5. Esbjerg Omegn"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495350.xml"	5699	5060	41	12	5113	1202	154	134	134	480	20	1140	1524	182	90	0
"Guldager"	"5. Esbjerg Omegn"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495351.xml"	1059	934	4	2	940	216	11	13	27	63	12	256	271	49	16	0
"Tjæreborg"	"5. Esbjerg Omegn"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495352.xml"	2516	2219	20	2	2241	572	60	37	69	167	12	555	564	133	50	0
"Kvaglund"	"4. Esbjerg By"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495343.xml"	2793	2088	24	9	2121	667	53	20	81	60	27	565	373	208	34	0
"Ådalskolen"	"4. Esbjerg By"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495344.xml"	2611	2156	17	6	2179	563	30	42	46	122	25	717	460	119	32	0
"Blåbjerggårdskolen"	"4. Esbjerg By"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495345.xml"	2968	2536	26	8	2570	814	49	27	108	117	18	744	426	186	47	0
"Sønderris"	"5. Esbjerg Omegn"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495353.xml"	2813	2415	18	10	2443	593	61	41	67	178	44	682	578	117	54	0
"Bramming"	"5. Esbjerg Omegn"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495354.xml"	7876	6698	54	21	6773	1549	152	141	189	447	80	1951	1711	328	150	0
"Ribe"	"5. Esbjerg Omegn"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495355.xml"	8515	7147	47	37	7231	1803	220	231	375	468	30	1518	1606	597	299	0
"Egebæk-Hviding"	"5. Esbjerg Omegn"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495356.xml"	1488	1281	12	4	1297	288	27	21	52	106	19	318	322	81	47	0
"Gredstedbro"	"5. Esbjerg Omegn"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495357.xml"	2069	1793	20	3	1816	366	50	60	46	126	9	508	517	75	36	0
"Mandø"	"5. Esbjerg Omegn"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495358.xml"	33	32	1	0	33	5	3	1	0	2	0	5	11	0	5	0
"Høm"	"5. Esbjerg Omegn"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495359.xml"	1228	1003	11	2	1016	175	28	16	26	66	11	290	318	49	24	0
"Gørding"	"5. Esbjerg Omegn"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495360.xml"	2680	2222	16	7	2245	426	46	33	55	151	28	738	630	83	32	0
"Nordby"	"4. Esbjerg By"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495346.xml"	2277	2013	20	3	2036	528	68	68	107	127	5	405	390	202	113	0
"Sønderho"	"4. Esbjerg By"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495347.xml"	258	231	5	1	237	80	3	9	9	12	2	43	35	28	10	0
"Varde By"	"6. Varde"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495361.xml"	10598	8798	66	44	8908	2041	212	157	250	565	49	2571	2381	383	189	0
"Sig"	"6. Varde"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495362.xml"	840	754	9	4	767	151	23	5	13	48	6	184	264	45	15	0
"Billum"	"6. Varde"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495363.xml"	569	503	8	1	512	84	17	16	9	42	0	140	161	22	12	0
"Tinghøj"	"6. Varde"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495364.xml"	649	581	5	2	588	94	14	8	9	50	6	163	211	11	15	0
"Alslev"	"6. Varde"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495365.xml"	1130	1026	14	1	1041	215	28	16	30	63	5	305	307	36	21	0
"Horne"	"6. Varde"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495366.xml"	842	726	10	1	737	124	14	4	12	49	7	220	270	18	8	0
"Janderup"	"6. Varde"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495367.xml"	996	880	3	7	890	153	30	9	28	54	13	250	291	33	19	0
"Lunde"	"6. Varde"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495368.xml"	951	795	9	3	807	116	23	9	23	69	13	255	250	27	10	0
"Nørre Nebel"	"6. Varde"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495369.xml"	1764	1526	3	8	1537	280	30	25	44	105	13	440	492	54	43	0
"Henne"	"6. Varde"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495370.xml"	587	503	6	1	510	58	11	17	15	42	18	141	178	11	12	0
"Outrup"	"6. Varde"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495371.xml"	1171	1027	10	0	1037	159	25	23	18	78	10	295	361	38	20	0
"Oksbøl"	"6. Varde"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495372.xml"	2780	2385	25	7	2417	464	41	39	59	156	15	617	861	94	39	0
"Blåvand"	"6. Varde"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495373.xml"	437	392	0	0	392	76	4	10	9	28	1	113	133	13	5	0
"Årre"	"6. Varde"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495374.xml"	896	802	7	2	811	139	21	12	15	60	14	237	274	26	4	0
"Agerbæk"	"6. Varde"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495375.xml"	1236	1097	6	3	1106	170	27	13	23	59	15	338	405	28	19	0
"Fåborg"	"6. Varde"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495376.xml"	508	441	5	0	446	43	8	8	12	35	3	128	187	8	9	0
"Næsbjerg"	"6. Varde"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495377.xml"	1061	938	11	2	951	141	16	11	12	69	7	250	385	33	14	0
"Starup"	"6. Varde"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495378.xml"	810	681	6	5	692	83	12	9	10	63	18	205	259	9	13	0
"Nordenskov"	"6. Varde"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495379.xml"	1009	896	6	2	904	143	21	19	10	59	4	220	361	37	22	0
"Ølgod"	"6. Varde"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495380.xml"	4425	3803	32	9	3844	645	115	65	61	216	194	1080	1242	126	59	0
"Tistrup"	"6. Varde"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495381.xml"	1493	1270	22	3	1295	211	31	19	16	79	10	348	486	46	24	0
"Ansager"	"6. Varde"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495382.xml"	1387	1173	8	3	1184	245	19	14	33	49	34	349	372	37	21	0
"Skovlund"	"6. Varde"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495383.xml"	611	548	4	1	553	72	11	2	10	65	12	147	196	18	15	0
"Brørup"	"7. Vejen"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495391.xml"	4148	3531	40	12	3583	911	65	77	96	232	17	1021	946	120	46	0
"Lindknud"	"7. Vejen"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495392.xml"	649	556	4	1	561	103	7	8	12	42	2	184	170	11	17	0
"Holsted"	"7. Vejen"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495393.xml"	2658	2222	21	5	2248	478	44	45	53	148	23	658	625	107	41	0
"Føvling"	"7. Vejen"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495394.xml"	853	755	8	0	763	119	10	11	17	54	10	247	257	22	8	0
"Glejbjerg"	"7. Vejen"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495395.xml"	934	799	5	4	808	126	13	19	13	50	5	250	289	24	10	0
"Hovborg"	"7. Vejen"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495396.xml"	422	365	3	1	369	68	8	10	9	30	5	95	116	12	12	0
"Rødding"	"7. Vejen"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495397.xml"	2656	2266	15	6	2287	415	42	71	50	129	49	634	763	71	42	0
"Sdr. Hygum"	"7. Vejen"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495398.xml"	683	583	0	1	584	94	7	10	9	45	6	153	202	40	17	0
"Jels"	"7. Vejen"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495399.xml"	1904	1629	23	5	1657	356	31	29	33	140	12	461	468	58	41	0
"Lintrup"	"7. Vejen"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495400.xml"	544	469	5	2	476	63	7	11	7	46	1	126	191	10	7	0
"Skodborg"	"7. Vejen"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495401.xml"	1318	1143	7	3	1153	272	16	37	26	78	11	305	340	33	25	0
"Københoved"	"7. Vejen"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495402.xml"	340	303	1	1	305	45	5	12	6	43	4	72	103	6	7	0
"Øster Lindet"	"7. Vejen"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495403.xml"	610	520	5	0	525	90	8	17	24	43	8	144	158	20	8	0
"Vejen"	"7. Vejen"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495404.xml"	6677	5607	44	22	5673	1624	120	141	149	341	28	1561	1297	258	88	0
"Læborg"	"7. Vejen"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495405.xml"	518	475	2	1	478	76	9	13	11	43	2	153	141	19	8	0
"Askov-Malt"	"7. Vejen"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495406.xml"	2182	1995	12	5	2012	415	85	45	59	215	5	452	572	86	61	0
"Andst"	"7. Vejen"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495407.xml"	1064	942	8	3	953	212	27	23	33	82	16	268	221	40	20	0
"Gesten"	"7. Vejen"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495408.xml"	1098	983	11	1	995	237	25	12	17	81	4	297	234	50	26	0
"Bække"	"7. Vejen"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495409.xml"	1577	1335	12	2	1349	219	19	28	49	119	11	475	346	41	28	0
"Hovslund"	"2. Aabenraa"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495295.xml"	646	549	7	0	556	111	6	6	12	42	4	203	143	19	3	0
"Hellevad"	"2. Aabenraa"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495296.xml"	651	552	8	2	562	102	8	6	9	29	10	168	185	26	9	0
"Rødekro"	"2. Aabenraa"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495297.xml"	5154	4376	37	21	4434	1035	112	71	97	282	48	1400	1111	156	64	0
"Løjt"	"2. Aabenraa"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495298.xml"	3319	2927	26	7	2960	667	100	48	77	205	17	804	776	131	102	0
"Hjordkær"	"2. Aabenraa"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495299.xml"	1436	1285	4	7	1296	268	27	21	16	70	35	508	289	43	8	0
"Ravsted"	"2. Aabenraa"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495300.xml"	658	562	1	5	568	75	25	11	10	100	3	192	125	17	4	0
"Bolderslev"	"2. Aabenraa"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495301.xml"	1672	1394	7	5	1406	251	32	15	16	133	18	492	368	54	15	0
"Ensted"	"2. Aabenraa"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495302.xml"	1722	1516	2	0	1518	295	52	43	34	113	14	443	414	72	36	0
"Felsted"	"2. Aabenraa"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495303.xml"	1607	1388	11	3	1402	280	42	22	24	92	8	496	335	63	26	0
"Varnæs"	"2. Aabenraa"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495304.xml"	928	778	7	4	789	154	23	9	22	56	3	238	216	34	23	0
"Bylderup"	"2. Aabenraa"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495305.xml"	1893	1537	14	2	1553	239	57	25	15	147	56	527	389	55	27	0
"Tinglev"	"2. Aabenraa"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495306.xml"	2570	2089	12	9	2110	456	81	33	38	137	18	708	528	63	27	0
"Kliplev"	"2. Aabenraa"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495307.xml"	1650	1389	13	3	1405	258	39	20	36	85	4	524	369	40	14	0
"Kruså"	"2. Aabenraa"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495308.xml"	3017	2521	21	15	2557	447	70	67	48	203	20	893	655	76	42	0
"Padborg"	"2. Aabenraa"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495309.xml"	3647	2995	22	16	3033	618	58	59	56	161	8	1159	723	115	38	0
"Aabenraa Midt"	"2. Aabenraa"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495310.xml"	7056	5830	50	21	5901	1373	267	113	188	444	62	1518	1308	378	179	0
"Aabenraa Syd"	"2. Aabenraa"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495311.xml"	3013	2556	22	11	2589	769	106	43	75	122	17	680	543	150	51	0
"Aabenraa Nord"	"2. Aabenraa"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495312.xml"	1933	1580	10	3	1593	459	70	27	50	82	9	439	296	116	32	0
"Gymnasiet"	"10. Fredericia"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495444.xml"	10831	8758	104	26	8888	2739	192	163	349	501	105	2606	1146	667	290	0
"Bredstrup-Pjedsted"	"10. Fredericia"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495445.xml"	1133	1008	4	2	1014	265	19	21	30	60	12	312	227	35	27	0
"Erritsø"	"10. Fredericia"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495446.xml"	7217	6460	48	12	6520	1671	181	178	163	499	43	1840	1452	267	166	0
"Herslev"	"10. Fredericia"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495447.xml"	585	512	9	2	523	95	12	8	20	29	4	181	118	25	20	0
"Taulov"	"10. Fredericia"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495448.xml"	4013	3582	35	2	3619	769	132	89	128	346	20	1020	842	134	102	0
"Søndermarken"	"10. Fredericia"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495449.xml"	7486	6000	47	15	6062	1966	119	79	183	294	49	1872	885	405	148	0
"Bøgeskov"	"10. Fredericia"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495450.xml"	1439	1309	12	1	1322	343	36	38	44	80	6	364	310	43	45	0
"Indre By"	"10. Fredericia"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495451.xml"	4691	3603	40	23	3666	907	98	63	140	268	17	1117	491	335	167	0
"Sønderbro"	"10. Horsens"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495632.xml"	4598	3566	46	13	3625	1198	98	57	157	235	16	925	381	385	102	12
"Vestbyen"	"10. Horsens"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495633.xml"	4583	3569	37	21	3627	1043	104	75	174	277	21	963	400	358	148	6
"Midtbyen"	"10. Horsens"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495634.xml"	7236	5639	62	32	5733	1436	226	129	232	723	26	1268	870	490	230	9
"Endelave"	"10. Horsens"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495635.xml"	151	133	1	0	134	38	14	7	2	4	0	20	26	17	5	0
"Forum"	"10. Horsens"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495636.xml"	4342	3492	37	18	3547	1124	119	63	155	296	19	782	404	346	169	15
"Dagnæs"	"10. Horsens"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495637.xml"	6948	6111	53	14	6178	1824	181	130	193	511	36	1682	1075	329	145	5
"Torsted"	"10. Horsens"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495638.xml"	4152	3693	36	10	3739	1012	111	104	140	347	23	1025	670	189	67	5
"Hatting"	"10. Horsens"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495639.xml"	2003	1805	18	8	1831	444	74	37	51	211	12	469	407	73	26	1
"Lund"	"10. Horsens"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495640.xml"	1928	1676	17	10	1703	425	46	38	52	166	8	404	405	83	48	1
"Egebjerg"	"10. Horsens"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495641.xml"	2068	1841	14	7	1862	498	70	51	44	207	11	426	365	90	76	3
"Stensballe"	"10. Horsens"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495642.xml"	4618	4267	20	10	4297	852	177	192	123	761	36	771	1080	138	134	3
"Højvangen"	"10. Horsens"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495643.xml"	2683	2438	25	5	2468	681	82	60	78	239	13	595	511	113	61	5
"Brædstrup"	"10. Horsens"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495644.xml"	3524	3030	25	14	3069	691	91	86	78	197	25	937	721	107	94	3
"Nim"	"10. Horsens"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495645.xml"	1347	1165	11	2	1178	242	41	35	37	105	17	307	289	59	29	4
"Sdr.Vissing"	"10. Horsens"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495646.xml"	844	740	3	5	748	142	28	15	24	73	7	183	152	49	67	0
"Østbirk"	"10. Horsens"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495647.xml"	2509	2174	14	8	2196	505	69	53	77	189	10	541	529	116	83	2
"Gedved"	"10. Horsens"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495648.xml"	1945	1724	17	7	1748	385	76	49	70	141	7	412	364	107	111	2
"Hovedgård"	"10. Horsens"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495649.xml"	2497	2176	20	16	2212	533	80	51	94	176	6	538	468	147	81	2
"Søvind"	"10. Horsens"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495650.xml"	1374	1211	12	4	1227	314	39	34	53	94	4	237	293	96	47	0
"Tønning-Træden"	"10. Horsens"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495651.xml"	537	483	1	0	484	108	25	6	24	47	3	103	80	26	61	0
"Sundparken"	"10. Horsens"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495652.xml"	1276	908	8	7	923	325	49	11	47	70	4	185	66	120	27	4
"Sejet"	"10. Horsens"	"Østjyllands Storkreds"	"Midtjylland-Nordjylland"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495653.xml"	400	348	6	1	355	80	8	10	9	29	5	105	78	16	8	0
"Centrum Nord"	"11. Kolding Nord"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495452.xml"	5607	4494	48	24	4566	960	225	130	249	518	16	888	918	326	264	0
"Nordbyen"	"11. Kolding Nord"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495453.xml"	3637	2632	22	13	2667	819	98	50	183	182	14	613	331	241	101	0
"Vestbyen"	"11. Kolding Nord"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495454.xml"	4214	3450	23	6	3479	1023	120	68	198	224	30	863	573	259	92	0
"Strandhuse/Nr. Bjert/ Eltang"	"11. Kolding Nord"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495455.xml"	5898	5339	30	12	5381	963	284	230	165	741	28	1085	1546	152	145	0
"Bramdrupdam"	"11. Kolding Nord"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495456.xml"	4065	3568	26	9	3603	785	106	127	151	289	12	947	934	148	69	0
"Alminde-Viuf/Vester Nebel"	"11. Kolding Nord"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495457.xml"	3489	3073	27	5	3105	625	108	80	87	309	15	800	887	91	71	0
"Lunderskov/Jordrup"	"11. Kolding Nord"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495458.xml"	4170	3592	41	17	3650	751	100	129	116	308	59	988	917	155	69	0
"Centrum Syd"	"12. Kolding Syd"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495459.xml"	4558	3586	33	16	3635	932	112	63	190	266	30	1079	512	266	136	0
"Sydbyen"	"12. Kolding Syd"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495460.xml"	6508	5358	66	22	5446	1167	251	122	258	544	82	1348	979	355	252	0
"Seest"	"12. Kolding Syd"	"Sydjyllands Storkreds"	"Sjælland-Syddanmark"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1495461.xml"	4387	3880	42	20	3942	1003	111	96	215	267	120	1025	821	143	79	0
